ID,ID_Rest,Name,Description,Price,Category
1,1,Рол Червоний Дракон (265г),"Рис, норі, кунжут чорний, темпура, сухарі Панко, огірок, лосось копчений, креветки тигрові",379.0,РОЛИ
2,1,Рол Золотий дракон (245г),"Рис, норі, соус унагі, огірок, кунжут білий, омлет тамаго, ікра масаго червона, вугор",369.0,РОЛИ
3,1,Рол Філадельфія з вугром (270г),"Рис, норі, крем-сир, соус унагі, огірок, кунжут білий, вугор",359.0,РОЛИ
4,1,Рол Філадельфія De Luxe (290г),"Рис, норі, крем-сир, огірок, авокадо, лосось свіжий, ікра масаго червона",329.0,РОЛИ
5,1,Рол Філадельфія з копченим лососем (275г),"Рис, норі, крем-сир, огірок, лосось копчений",310.0,РОЛИ
6,1,Рол Масаго з лососем (255г),"Рис, норі, крем-сир, огірок, ікра масаго червона, лосось свіжий",305.0,РОЛИ
7,1,Рол Сирний з вугром (260г),"Рис, норі, крем-сир, соус унагі, огірок, кунжут білий, вугор",299.0,РОЛИ
8,1,Рол Рінго (250г),"Рис, норі, соус унагі, кунжут білий, сир Фета, лосось копчений, сир тостовий, яблуко",256.0,РОЛИ
9,1,Рол Гон-Конг (250г),"Рис, норі, вугор, лосось свіжий, огірок, крем-сир, зелена цибуля, соус Унагі, кунжут білий",255.0,РОЛИ
10,1,Рол Філадельфія з авокадо (265г),"Рис, норі, крем-сир, лосось свіжий, авокадо",255.0,РОЛИ
11,1,Рол Філадельфія лайт (270г),"Рис, норі, крем-сир, лосось свіжий, соус Унагі",249.0,РОЛИ
12,1,Рол з креветкою темпура (205г),"Рис, норі, тигрова креветка, огірок, темпура, кисло-солодкий соус",249.0,РОЛИ
13,1,Рол Філадельфія з яблуком (270г),"Рис, норі, крем-сир, яблуко, лосось свіжий, манго-чілі",239.0,РОЛИ
14,1,Рол Філадельфія з масляною рибою (265г),"Рис, норі, крем-сир, огірок, кунжут чорний, масляна риба",236.0,РОЛИ
15,1,Рол Філадельфія (265г),"Рис, норі, крем-сир, огірок, лосось свіжий",229.0,РОЛИ
16,1,Рол з лососем і Фетою (240г),"Рис, норі, лосось запечений, сир фета, помідор, білий кунжут, салат айсберг",229.0,РОЛИ
17,1,Рол Сирний в ікрі (245г),"Рис, норі, крем-сир, сир плавлений, ікра Масаго червона",222.0,РОЛИ
18,1,Рол Філадельфія Green (265г),"Рис, норі, крем-сир, огірок, кунжут білий, авокадо, масляна риба",220.0,РОЛИ
19,1,Запечений рол з печеним лососем (250г),"Рис, норі, унагі, манго-чілі, Фета, лосось печений, сирний соус",219.0,РОЛИ
20,1,Рол Сирний з масляною рибою (260г),"Рис, норі, крем-сир, огірок, кунжут білий, масляна риба, манго-чілі",213.0,РОЛИ
21,1,Рол Запечений рол в ікрі (245г),"Рис, норі, омлет тамаго, гриби шиітаке, ікра масаго червона, сирний соус",209.0,РОЛИ
22,1,Каліфорнія з печеним лососем (215г),"Рис, норі, лосось печений, спайс майонез, огірок, кунжут білй, кунжут чорний",209.0,РОЛИ
23,1,Рол Сирний з тамаго (240г),"Рис, норі, крем-сир, огірок, омлет Тамаго, ікра Масаго червона",208.0,РОЛИ
24,1,Рол Футомакі з лососем (255г),"Рис, норі, лосось свіжий, крем-сир, салат айсберг, огірок",206.0,РОЛИ
25,1,Рол Сирний з лососем (255г),"Рис, норі, крем-сир, огірок, кунжут білий, лосось свіжий",205.0,РОЛИ
26,1,Теплий рол з креветкою (240г),"Рис, норі, тигрова креветка, омлет тамаго, огірок, кляр темпура, сухарі панко",205.0,РОЛИ
27,1,Рол Каліфорнія з тунцем (220г),"Рис, норі, огірок, спайс майонез, майонез, зелена цибуля, тунець, чорний кунжут",204.0,РОЛИ
28,1,Запечений рол з лососем (245г),"Рис, норі, лосось свіжий, крем-сир, огірок, кунжут білий, сирний соус",199.0,РОЛИ
29,1,Рол з лососем (210г),"Рис, норі, лосось свіжий, огірок, майонез, кунжут білий, манго-чілі",179.0,РОЛИ
30,1,Рол Сурімі з авокадо (260г),"Рис, норі, сніжний краб, авокадо, крем-сир, кунжут білий, соус унагі",179.0,РОЛИ
31,1,Рол Сирний Max (270г),"Рис, норі, крем-сир, сир плавлений, сир Фета, сир тостовий",168.0,РОЛИ
32,1,Рол Філадельфія овочева (235г),"Рис, норі, салат Айсберг, крем-сир, кунжут білий, перець болгарський, авокадо",168.0,РОЛИ
33,1,Теплий рол з куркою (255г),"Рис, сир плавлений, кляр темпура, салат Айсберг, соус Цезар, спайсі майонез, курка смажена, норі, сухарі панко, манго-чілі",158.0,РОЛИ
34,1,Рол Сирний з куркою (240г),"Рис, норі, курка копчена, ананаси консервовані, крем-сир, кунжут чорний",149.0,РОЛИ
35,1,Рол з копченою куркою (245г),"Рис, норі, курка копчена, крем-сир, помідор, кунжут білий, спайс майонез",142.0,РОЛИ
36,1,Рол Хосомакі з копченим лососем (100г),"Рис, норі, лосось копчений",140.0,РОЛИ
37,1,Рол Сирний (250г),"Рис, норі, крем-сир, кунжут білий, сир плавлений, сир Фета",139.0,РОЛИ
38,1,Теплий рол Сирний (255г),"Рис, норі, сир плавлений, омлет тамаго, крем-сир, темпура, сухарі панко, манго-чілі",139.0,РОЛИ
39,1,Запечений рол з тамаго (245г),"Рис, норі, крем-сир, омлет тамаго, салат айсберг, кунжут чорний, сирний соус, соус Унагі",139.0,РОЛИ
40,1,Запечений Сирний рол (240г),"Рис, норі, тамаго, Фета, сир плавлений, сирний соус",125.0,РОЛИ
41,1,Рол Хосомакі зі свіжим лососем (100г),"Рис, норі, лосось свіжий",119.0,РОЛИ
42,1,Рол Футомакі мікс (208г),"Рис, норі, перець болгарський, водорості спіруліна, омлет тамаго, огірок, кунжут білий, соус горіховий, майонез",118.0,РОЛИ
43,1,Рол Хосомакі з авокадо (100г),"Рис, норі, авокадо",89.0,РОЛИ
44,1,Рол Хосомакі з крем-сиром (110г),"Рис, норі, крем-сир",79.0,РОЛИ
45,1,Рол Хосомакі з огірком (105г),"Рис, норі, огірок, кунжут білий",69.0,РОЛИ
46,1,Піца з креветками та лососем (30см),"Вершковий соус, сир моцарела, тигрова креветка, лосось свіжий, помідори чері, сир пармезан, прованські трави",395.0,ПІЦА
47,1,Піца Бургер (30см),"Неаполітанський соус, сир Моцарела, перець болгарський, бекон, синя цибуля, курка смажена, соус Бургер, салат айсберг",274.0,ПІЦА
48,1,Піца Цезара (30см),"Вершковий соус, сир Моцарела, сир Пармезан, бекон, курка смажена, соус Цезар, помідори чері, салат айсберг",269.0,ПІЦА
49,1,Піца з креветками та лососем (22см),"Вершковий соус, сир моцарела, тигрова креветка, лосось свіжий, помідори чері, сир пармезан, прованські трави",260.0,ПІЦА
50,1,Піца 4 Сири (30см),"Вершковий соус, сир Моцарела, сир Пармезан, сир Дор-Блю, сир Мармуровий",253.0,ПІЦА
51,1,Піца 4 М'яса (30см),"Неаполітанський соус, сир Моцарела, шинка, бекон, салямі Мілано, мисливські ковбаски, часникова олія",252.0,ПІЦА
52,1,Піца Мілано (30см),"Неаполітанський соус, сир Моцарела, шинка, печериці свіжі, салямі Мілано, сир Дор-Блю, часникова олія",244.0,ПІЦА
53,1,Піца Мікс (30см),"Неаполітанський соус, сир Моцарела, шинка, перець болгарський, сир Пармезан, кукурудза, зелена цибуля, кисло-солодкий соус",243.0,ПІЦА
54,1,Піца Сирна з грушею (30см),"Вершковий соус, сир моцарела, грушка, сир дор-блю, грецький горіх, сир пармезан",243.0,ПІЦА
55,1,Піца BBQ (30см),"Неаполітанський соус, сир Моцарела, салямі Чорізо, синя цибуля, огірки мариновані, соус BBQ",238.0,ПІЦА
